загадковий	загадочный	ADJ	0	2	8	0	0	1	1		3	4	0	1	1	1		2	2	0	1	1	1		3	3	0	1	1	1		2	2	0	1	1	1		2	2	0	1	1	1			0.40000	0.30000	4	3.00000	1.00000	0.10000	1.80000	0.18000	2.20000	0.22000	2.60000	0.26000	
кит	кит	NOUN	1	1	1	1	1	1	1		1	1	1	1	1	1		1	1	1	1	1	1		1	1	1	1	1	1		1	1	1	1	1	1		1	1	1	1	1	1			0.00000	0.06667	0	0.20000	0.20000	0.06667	0.20000	0.06667	0.20000	0.06667	0.20000	0.06667	
проходити	проходить	VERB	0	1	4	0	1	1	1		2	4	0	1	1	1		2	5	0	1	1	1		2	6	0	0	1	1		3	5	0	1	1	1		3	4	0	1	1	1			0.11111	0.13333	1	1.20000	0.60000	0.06667	1.00000	0.11111	1.20000	0.13333	1.20000	0.13333	
доводити	доводить	VERB	0	1	2	0	1	1	1		1	2	0	1	1	1		2	2	0	1	1	1		2	3	0	1	1	1		2	3	0	1	1	1		2	2	0	1	1	1			0.12500	0.17500	1	1.40000	0.80000	0.10000	1.20000	0.15000	1.40000	0.17500	1.40000	0.17500	
парафіянин	прихожанин	NOUN	0	8	655	0	0	0	0		16	165	0	0	0	0		8	211	0	0	0	0		15	148	0	0	0	0		17	72	0	0	0	0		15	75	0	0	0	0			0.60000	0.42000	6	4.20000	1.60000	0.16000	2.80000	0.28000	3.40000	0.34000	3.80000	0.38000	
зв’язатися	связаться	VERB	0	1	2	0	1	1	1		1	1	1	1	1	1		1	1	1	1	1	1		1	1	1	1	1	1		1	1	1	1	1	1		1	1	1	1	1	1			0.30000	0.24000	3	2.40000	1.00000	0.10000	1.60000	0.16000	2.00000	0.20000	2.20000	0.22000	
черга	очередь	NOUN	0	9	307	0	0	0	0		78	3171	0	0	0	0		249	24990	0	0	0	0		188	14493	0	0	0	0		165	10578	0	0	0	0		95	4307	0	0	0	0			0.57143	0.57143	4	4.00000	2.20000	0.31429	3.00000	0.42857	3.60000	0.51429	3.80000	0.54286	
нарахування	начисление	NOUN	0	28	5255	0	0	0	0		100	1148	0	0	0	0		155	9376	0	0	0	0		234	16883	0	0	0	0		212	5468	0	0	0	0		135	1925	0	0	0	0			0.72727	0.52727	8	5.80000	3.00000	0.27273	5.00000	0.45455	5.40000	0.49091	5.60000	0.50909	
дух	дух	NOUN	1	1	1	1	1	1	1		1	1	1	1	1	1		1	1	1	1	1	1		1	1	1	1	1	1		1	1	1	1	1	1		1	1	1	1	1	1			0.00000	0.00000	0	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
дух	запах	NOUN	0	17	2464	0	0	0	0		27	1077	0	0	0	0		159	30612	0	0	0	0		86	4680	0	0	0	0		47	1169	0	0	0	0		36	834	0	0	0	0			0.80000	0.64000	4	3.20000	1.60000	0.32000	2.00000	0.40000	2.40000	0.48000	2.80000	0.56000	
нагнати	нагнать	VERB	0	1	2	0	1	1	1		2	2	0	1	1	1		1	1	1	1	1	1		2	2	0	1	1	1		2	3	0	1	1	1		2	2	0	1	1	1			0.14286	0.14286	1	1.00000	0.40000	0.05714	0.80000	0.11429	1.00000	0.14286	1.00000	0.14286	
мавпячий	обезьяний	ADJ	0	10	296	0	0	0	0		58	866	0	0	0	0		269	9254	0	0	0	0		341	5372	0	0	0	0		266	5846	0	0	0	0		110	2216	0	0	0	0			0.66667	0.57778	6	5.20000	2.80000	0.31111	4.20000	0.46667	5.00000	0.55556	5.20000	0.57778	
упускати	упускать	VERB	0	1	1	1	1	1	1		1	1	1	1	1	1		1	1	1	1	1	1		1	1	1	1	1	1		1	1	1	1	1	1		1	1	1	1	1	1			0.12500	0.12500	1	1.00000	0.40000	0.05000	0.80000	0.10000	1.00000	0.12500	1.00000	0.12500	
залюднений	обитаемый	ADJ	0	37	9654	0	0	0	0		85	1824	0	0	0	0		312	15160	0	0	0	0		460	16343	0	0	0	0		321	10831	0	0	0	0		144	4104	0	0	0	0			0.80000	0.54000	8	5.40000	3.20000	0.32000	5.00000	0.50000	5.40000	0.54000	5.40000	0.54000	
жовтий	жёлтый	ADJ	0	3	31	0	0	0	0		1	1	1	1	1	1		2	3	0	1	1	1		1	2	0	1	1	1		1	1	1	1	1	1		1	1	1	1	1	1			0.50000	0.20000	3	1.20000	0.80000	0.13333	1.20000	0.20000	1.20000	0.20000	1.20000	0.20000	
каятися	каяться	VERB	0	1	1	1	1	1	1		1	1	1	1	1	1		1	2	0	1	1	1		1	2	0	1	1	1		1	1	1	1	1	1		1	1	1	1	1	1			0.14286	0.14286	1	1.00000	0.40000	0.05714	0.80000	0.11429	1.00000	0.14286	1.00000	0.14286	
собачка	собачка	NOUN	1	1	1	1	1	1	1		1	1	1	1	1	1		1	1	1	1	1	1		1	1	1	1	1	1		1	1	1	1	1	1		1	1	1	1	1	1			0.00000	0.00000	0	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
брязкати	бряцать	VERB	0	1	2	0	1	1	1		8	33	0	0	0	0		1	2	0	1	1	1		10	29	0	0	0	0		9	22	0	0	0	1		9	23	0	0	0	1			0.37500	0.35000	3	2.80000	1.00000	0.12500	2.00000	0.25000	2.40000	0.30000	2.60000	0.32500	
утримування	содержание	NOUN	0	41	17780	0	0	0	0		207	7035	0	0	0	0		239	32546	0	0	0	0		286	21021	0	0	0	0		312	17799	0	0	0	0		227	9515	0	0	0	0			0.81818	0.63636	9	7.00000	3.60000	0.32727	5.20000	0.47273	6.20000	0.56364	6.60000	0.60000	
сохнути	сохнуть	VERB	0	1	2	0	1	1	1		1	2	0	1	1	1		2	2	0	1	1	1		2	2	0	1	1	1		2	2	0	1	1	1		2	2	0	1	1	1			0.14286	0.14286	1	1.00000	0.40000	0.05714	0.80000	0.11429	1.00000	0.14286	1.00000	0.14286	
