загадковий	загадочный	ADJ	2	8	0	0	1	1		3	4	0	1	1	1		2	2	0	1	1	1		3	3	0	1	1	1		2	2	0	1	1	1		2	2	0	1	1	1			0.400, 0.300, 4, 3.000, 1.000, 0.100, 1.800, 0.180, 2.200, 0.220, 2.600, 0.260	
кит	кит	NOUN	1	1	1	1	1	1		1	1	1	1	1	1		1	1	1	1	1	1		1	1	1	1	1	1		1	1	1	1	1	1		1	1	1	1	1	1			0.000, 0.067, 0, 0.200, 0.200, 0.067, 0.200, 0.067, 0.200, 0.067, 0.200, 0.067	
проходити	проходить	VERB	1	4	0	1	1	1		2	4	0	1	1	1		2	5	0	1	1	1		2	6	0	0	1	1		3	5	0	1	1	1		3	4	0	1	1	1			0.111, 0.133, 1, 1.200, 0.600, 0.067, 1.000, 0.111, 1.200, 0.133, 1.200, 0.133	
доводити	доводить	VERB	1	2	0	1	1	1		1	2	0	1	1	1		2	2	0	1	1	1		2	3	0	1	1	1		2	3	0	1	1	1		2	2	0	1	1	1			0.125, 0.175, 1, 1.400, 0.800, 0.100, 1.200, 0.150, 1.400, 0.175, 1.400, 0.175	
парафіянин	прихожанин	NOUN	8	655	0	0	0	0		16	165	0	0	0	0		8	211	0	0	0	0		15	148	0	0	0	0		17	72	0	0	0	0		15	75	0	0	0	0			0.600, 0.420, 6, 4.200, 1.600, 0.160, 2.800, 0.280, 3.400, 0.340, 3.800, 0.380	
зв’язатися	связаться	VERB	1	2	0	1	1	1		1	1	1	1	1	1		1	1	1	1	1	1		1	1	1	1	1	1		1	1	1	1	1	1		1	1	1	1	1	1			0.300, 0.240, 3, 2.400, 1.000, 0.100, 1.600, 0.160, 2.000, 0.200, 2.200, 0.220	
черга	очередь	NOUN	9	307	0	0	0	0		78	3171	0	0	0	0		249	24990	0	0	0	0		188	14493	0	0	0	0		165	10578	0	0	0	0		95	4307	0	0	0	0			0.571, 0.571, 4, 4.000, 2.200, 0.314, 3.000, 0.429, 3.600, 0.514, 3.800, 0.543	
нарахування	начисление	NOUN	28	5255	0	0	0	0		100	1148	0	0	0	0		155	9376	0	0	0	0		234	16883	0	0	0	0		212	5468	0	0	0	0		135	1925	0	0	0	0			0.727, 0.527, 8, 5.800, 3.000, 0.273, 5.000, 0.455, 5.400, 0.491, 5.600, 0.509	
дух	запах	NOUN	17	2464	0	0	0	0		27	1077	0	0	0	0		159	30612	0	0	0	0		86	4680	0	0	0	0		47	1169	0	0	0	0		36	834	0	0	0	0			0.800, 0.640, 4, 3.200, 1.600, 0.320, 2.000, 0.400, 2.400, 0.480, 2.800, 0.560	
дух	дух	NOUN	1	1	1	1	1	1		1	1	1	1	1	1		1	1	1	1	1	1		1	1	1	1	1	1		1	1	1	1	1	1		1	1	1	1	1	1			0.000, 0.000, 0, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000	
нагнати	нагнать	VERB	1	2	0	1	1	1		2	2	0	1	1	1		1	1	1	1	1	1		2	2	0	1	1	1		2	3	0	1	1	1		2	2	0	1	1	1			0.143, 0.143, 1, 1.000, 0.400, 0.057, 0.800, 0.114, 1.000, 0.143, 1.000, 0.143	
мавпячий	обезьяний	ADJ	10	296	0	0	0	0		58	866	0	0	0	0		269	9254	0	0	0	0		341	5372	0	0	0	0		266	5846	0	0	0	0		110	2216	0	0	0	0			0.667, 0.578, 6, 5.200, 2.800, 0.311, 4.200, 0.467, 5.000, 0.556, 5.200, 0.578	
упускати	упускать	VERB	1	1	1	1	1	1		1	1	1	1	1	1		1	1	1	1	1	1		1	1	1	1	1	1		1	1	1	1	1	1		1	1	1	1	1	1			0.125, 0.125, 1, 1.000, 0.400, 0.050, 0.800, 0.100, 1.000, 0.125, 1.000, 0.125	
залюднений	обитаемый	ADJ	37	9654	0	0	0	0		85	1824	0	0	0	0		312	15160	0	0	0	0		460	16343	0	0	0	0		321	10831	0	0	0	0		144	4104	0	0	0	0			0.800, 0.540, 8, 5.400, 3.200, 0.320, 5.000, 0.500, 5.400, 0.540, 5.400, 0.540	
жовтий	жёлтый	ADJ	3	31	0	0	0	0		1	1	1	1	1	1		2	3	0	1	1	1		1	2	0	1	1	1		1	1	1	1	1	1		1	1	1	1	1	1			0.500, 0.200, 3, 1.200, 0.800, 0.133, 1.200, 0.200, 1.200, 0.200, 1.200, 0.200	
каятися	каяться	VERB	1	1	1	1	1	1		1	1	1	1	1	1		1	2	0	1	1	1		1	2	0	1	1	1		1	1	1	1	1	1		1	1	1	1	1	1			0.143, 0.143, 1, 1.000, 0.400, 0.057, 0.800, 0.114, 1.000, 0.143, 1.000, 0.143	
