загадковий	загадочный	ADJ	0	2	8	0	0	1	1		4	10	0	0	1	1		2	2	0	1	1	1		3	3	0	1	1	1		2	2	0	1	1	1		2	4	0	1	1	1			0.40000	0.30000	4	3.00000	1.00000	0.10000	1.80000	0.18000	2.20000	0.22000	2.60000	0.26000	
кит	кит	NOUN	1	1	1	1	1	1	1		1	1	1	1	1	1		1	1	1	1	1	1		1	1	1	1	1	1		1	1	1	1	1	1		1	1	1	1	1	1			0.00000	0.06667	0	0.20000	0.20000	0.06667	0.20000	0.06667	0.20000	0.06667	0.20000	0.06667	
проходити	проходить	VERB	0	1	4	0	1	1	1		4	6	0	0	1	1		2	5	0	1	1	1		3	9	0	0	1	1		5	8	0	0	1	1		4	6	0	0	1	1			0.11111	0.13333	1	1.20000	0.60000	0.06667	1.00000	0.11111	1.20000	0.13333	1.20000	0.13333	
доводити	доводить	VERB	0	1	2	0	1	1	1		2	3	0	1	1	1		2	2	0	1	1	1		2	5	0	1	1	1		3	6	0	0	1	1		3	3	0	1	1	1			0.12500	0.17500	1	1.40000	0.80000	0.10000	1.20000	0.15000	1.40000	0.17500	1.40000	0.17500	
парафіянин	прихожанин	NOUN	0	8	655	0	0	0	0		19	132	0	0	0	0		11	264	0	0	0	0		20	322	0	0	0	0		14	132	0	0	0	0		19	156	0	0	0	0			0.60000	0.38000	6	3.80000	1.60000	0.16000	2.60000	0.26000	3.00000	0.30000	3.40000	0.34000	
зв’язатися	связаться	VERB	0	1	2	0	1	1	1		1	1	1	1	1	1		1	1	1	1	1	1		1	2	0	1	1	1		1	2	0	1	1	1		1	1	1	1	1	1			0.30000	0.24000	3	2.40000	1.00000	0.10000	1.60000	0.16000	2.00000	0.20000	2.20000	0.22000	
черга	очередь	NOUN	0	9	307	0	0	0	0		72	3560	0	0	0	0		279	31284	0	0	0	0		212	19903	0	0	0	0		131	9647	0	0	0	0		93	5016	0	0	0	0			0.57143	0.51429	4	3.60000	2.20000	0.31429	2.80000	0.40000	3.20000	0.45714	3.40000	0.48571	
нарахування	начисление	NOUN	0	28	5255	0	0	0	0		81	1008	0	0	0	0		164	11611	0	0	0	0		125	5542	0	0	0	0		149	4423	0	0	0	0		95	1543	0	0	0	0			0.72727	0.45455	8	5.00000	2.80000	0.25455	3.80000	0.34545	4.60000	0.41818	4.80000	0.43636	
дух	запах	NOUN	0	17	2464	0	0	0	0		35	731	0	0	0	0		66	2624	0	0	0	0		25	428	0	0	0	0		26	402	0	0	0	0		26	372	0	0	0	0			0.80000	0.52000	4	2.60000	1.00000	0.20000	1.40000	0.28000	1.80000	0.36000	2.20000	0.44000	
дух	дух	NOUN	1	1	1	1	1	1	1		1	1	1	1	1	1		1	1	1	1	1	1		1	1	1	1	1	1		1	1	1	1	1	1		1	1	1	1	1	1			0.00000	0.00000	0	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
нагнати	нагнать	VERB	0	1	2	0	1	1	1		2	3	0	1	1	1		1	1	1	1	1	1		3	3	0	1	1	1		3	4	0	1	1	1		2	3	0	1	1	1			0.14286	0.14286	1	1.00000	0.40000	0.05714	0.80000	0.11429	1.00000	0.14286	1.00000	0.14286	
мавпячий	обезьяний	ADJ	0	10	296	0	0	0	0		40	325	0	0	0	0		329	12375	0	0	0	0		382	9877	0	0	0	0		180	3246	0	0	0	0		74	771	0	0	0	0			0.66667	0.46667	6	4.20000	2.80000	0.31111	4.00000	0.44444	4.20000	0.46667	4.20000	0.46667	
